pincode,state,countryCode
"=""144512""",PUNJAB,IN
"=""144513""",PUNJAB,IN
"=""144514""",PUNJAB,IN
"=""144515""",PUNJAB,IN
"=""144516""",PUNJAB,IN
"=""144517""",PUNJAB,IN
"=""144518""",PUNJAB,IN
"=""144519""",PUNJAB,IN
"=""144520""",PUNJAB,IN
"=""144521""",PUNJAB,IN
"=""144522""",PUNJAB,IN
"=""144523""",PUNJAB,IN
"=""144524""",PUNJAB,IN
"=""144525""",PUNJAB,IN
"=""144526""",PUNJAB,IN
"=""144527""",PUNJAB,IN
"=""144528""",PUNJAB,IN
"=""144529""",PUNJAB,IN
"=""144530""",PUNJAB,IN
"=""144531""",PUNJAB,IN
"=""144532""",PUNJAB,IN
"=""144533""",PUNJAB,IN
"=""144601""",PUNJAB,IN
"=""144602""",PUNJAB,IN
"=""144603""",PUNJAB,IN
"=""144606""",PUNJAB,IN
"=""144620""",PUNJAB,IN
"=""144621""",PUNJAB,IN
"=""144622""",PUNJAB,IN
"=""144623""",PUNJAB,IN
"=""144624""",PUNJAB,IN
"=""144625""",PUNJAB,IN
"=""144626""",PUNJAB,IN
"=""144628""",PUNJAB,IN
"=""144629""",PUNJAB,IN
"=""144630""",PUNJAB,IN
"=""144631""",PUNJAB,IN
"=""144632""",PUNJAB,IN
"=""144633""",PUNJAB,IN
"=""144701""",PUNJAB,IN
"=""144702""",PUNJAB,IN
"=""144703""",PUNJAB,IN
"=""144801""",PUNJAB,IN
"=""144802""",PUNJAB,IN
"=""144803""",PUNJAB,IN
"=""144804""",PUNJAB,IN
"=""144805""",PUNJAB,IN
"=""144806""",PUNJAB,IN
"=""144819""",PUNJAB,IN
"=""145001""",PUNJAB,IN
"=""145002""",PUNJAB,IN
"=""145022""",PUNJAB,IN
"=""145023""",PUNJAB,IN
"=""145024""",PUNJAB,IN
"=""145025""",PUNJAB,IN
"=""145026""",PUNJAB,IN
"=""145027""",PUNJAB,IN
"=""145029""",PUNJAB,IN
"=""145101""",PUNJAB,IN
"=""146001""",PUNJAB,IN
"=""146021""",PUNJAB,IN
"=""146022""",PUNJAB,IN
"=""146023""",PUNJAB,IN
"=""146024""",PUNJAB,IN
"=""146101""",PUNJAB,IN
"=""146102""",PUNJAB,IN
"=""146103""",PUNJAB,IN
"=""146104""",PUNJAB,IN
"=""146105""",PUNJAB,IN
"=""146106""",PUNJAB,IN
